date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:05	12883/12883	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jul%202014%2014:00:31%20GMT	http://statfa.net/landing/identity/images/clients/nexternal.png	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/images/clients/nexternal.png	(from )
21:58:07	14360/14360	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jul%202014%2014:00:25%20GMT	http://statfa.net/landing/identity/images/clients/google.png	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/images/clients/google.png	(from )
21:58:08	15415/15415	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:39%20GMT	http://statfa.net/landing/identity/js/modernizr.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/modernizr.js	(from )
21:58:08	4515/4515	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:38%20GMT	http://statfa.net/landing/identity/js/jquery.sticky.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/jquery.sticky.js	(from )
21:58:10	8699/8699	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:32%20GMT	http://statfa.net/landing/identity/js/jquery.easing-1.3.pack.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/jquery.easing-1.3.pack.js	(from )
21:58:12	6860/6860	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:24%20GMT	http://statfa.net/landing/identity/js/bootstrap-modal.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/bootstrap-modal.js	(from )
21:58:13	1828/1828	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:36%20GMT	http://statfa.net/landing/identity/js/jquery.parallax-1.1.3.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/jquery.parallax-1.1.3.js	(from )
21:58:13	27824/27824	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:25%20GMT	http://statfa.net/landing/identity/js/bootstrap.min.js?ver=3.1.1	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/bootstrap.minb12b.js	(from )
21:58:14	3188/3188	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:29%20GMT	http://statfa.net/landing/identity/js/jquery.appear.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/jquery.appear.js	(from )
21:58:17	16920/16920	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:33%20GMT	http://statfa.net/landing/identity/js/jquery.flexslider.min.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/jquery.flexslider.min.js	(from )
